단축코드,표준코드,한글종목명,증권그룹구분코드,시가총액 규모 구분 코드 유가,지수업종 대분류 코드,지수 업종 중분류 코드,지수업종 소분류 코드,벤처기업 여부 (Y/N),저유동성종목 여부,KRX 종목 여부,ETP 상품구분코드,KRX100 종목 여부 (Y/N),KRX 자동차 여부,KRX 반도체 여부,KRX 바이오 여부,KRX 은행 여부,기업인수목적회사여부,KRX 에너지 화학 여부,KRX 철강 여부,단기과열종목구분코드,KRX 미디어 통신 여부,KRX 건설 여부,(코스닥)투자주의환기종목여부,KRX 증권 구분,KRX 선박 구분,KRX섹터지수 보험여부,KRX섹터지수 운송여부,"KOSDAQ150지수여부 (Y,N)",주식 기준가,정규 시장 매매 수량 단위,시간외 시장 매매 수량 단위,거래정지 여부,정리매매 여부,관리 종목 여부,시장 경고 구분 코드,시장 경고위험 예고 여부,불성실 공시 여부,우회 상장 여부,락구분 코드,액면가 변경 구분 코드,증자 구분 코드,증거금 비율,신용주문 가능 여부,신용기간,전일 거래량,주식 액면가,주식 상장 일자,상장 주수(천),자본금,결산 월,공모 가격,우선주 구분 코드,공매도과열종목여부,이상급등종목여부,KRX300 종목 여부 (Y/N),매출액,영업이익,경상이익,단기순이익,ROE(자기자본이익률),기준년월,전일기준 시가총액 (억),그룹사 코드,회사신용한도초과여부,담보대출가능여부,대주가능여부
900110,HK0000057197,이스트아시아홀딩스,FS,,0,0,0,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,118,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,3220959,0,20100423,291932,721809022,12,,0,,N,N,259,25,36,22,1,20230630.0,344,,N,N,N
900270,HK0000214814,헝셩그룹,FS,,0,0,0,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,218,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,626910,0,20160818,85682,426856016,12,,0,,N,N,494,-13,-26,-24,-2,20230630.0,186,,N,N,N
900260,HK0000295359,로스웰,FS,,0,0,0,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,819,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,125540,0,20160630,36031,1002602908,12,,0,,N,N,1419,49,35,33,3,20230630.0,295,,N,N,N
900290,HK0000307485,GRT,FS,,0,0,0,,N,N,,N,,,,,N,,,0,,,N,,,,,N,2680,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,25314,0,20161025,67375,770089223,6,,0,,N,N,7677,787,712,588,8,20230630.0,1805,,N,N,N
900300,HK0000312568,오가닉티코스메틱,FS,,0,0,0,,N,N,,N,,,,,N,,,0,,,Y,,,,,N,135,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,1329498,0,20161104,245263,0,12,,0,,N,N,776,-365,-390,-330,-19,20230630.0,331,,N,N,N
900310,HK0000341732,컬러레이,FS,,0,0,0,,N,N,,N,,,,,N,,,0,,,N,,,,,N,884,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,339249,0,20170810,64041,398343224,12,,0,,N,N,159,60,73,65,5,20230630.0,566,,N,N,N
900340,HK0000449303,윙입푸드,FS,,0,0,0,,N,N,,N,,,,,N,,,0,,,N,,,,,N,789,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,113362,0,20181130,47973,293632368,12,,0,,N,N,854,142,110,80,9,20230630.0,378,,N,N,N
000250,KR7000250001,삼천당제약,ST,1.0,0,1009,1024,N,N,Y,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,Y,64800,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,281099,500,20001004,23457,11728736000,12,,0,,N,Y,917,51,2,-8,-4,20230630.0,15200,,N,N,N
000440,KR7000440008,중앙에너비스,ST,3.0,0,1011,0,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,17210,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,32050,500,19930324,6227,3113565000,12,,0,,N,N,416,-7,-3,-3,-1,20230930.0,1071,,N,N,N
001000,KR7001000009,신라섬유,ST,3.0,0,1011,0,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,1709,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,23207,100,19940628,24277,2427754000,12,,0,,N,N,44,5,0,0,0,20221231.0,414,,N,N,N
001540,KR7001540004,안국약품,ST,3.0,0,1009,1024,N,N,Y,,N,N,N,Y,N,N,N,N,0,N,N,N,N,N,N,N,N,7780,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,13697,500,20000615,13042,6521210000,12,,0,,N,N,1695,44,58,40,3,20230930.0,1014,,N,N,N
001810,KR7001810001,무림SP,ST,3.0,0,1009,1021,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,1815,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,16680,500,20000104,22137,11068750000,12,,0,,N,N,782,-72,-67,-50,-5,20230630.0,401,,N,N,N
001840,KR7001840008,이화공영,ST,3.0,0,1010,0,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,3310,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,34646,500,19941123,19805,9902880000,12,,0,,N,N,1946,1,7,6,1,20221231.0,655,,N,N,N
002230,KR7002230001,피에스텍,ST,3.0,0,1009,1029,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,4000,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,3379,500,19910104,19370,9834621500,12,,0,,N,N,331,10,79,64,10,20230630.0,774,,N,N,N
002290,KR7002290005,삼일기업공사,ST,3.0,0,1010,0,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,4045,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,49563,500,19921130,12400,6200000000,12,,0,,N,N,636,22,32,25,4,20221231.0,501,,N,N,N
002680,KR7002680007,한탑,ST,3.0,0,1009,1019,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,1241,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,175657,500,19950707,29994,14997408500,12,,0,,N,N,725,5,-45,-49,-13,20230930.0,372,,N,N,N
002800,KR7002800001,신신제약,ST,3.0,0,1009,1024,,N,N,,N,,,,,N,,,0,,,N,,,,,N,6450,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,292586,500,20170228,15170,7585250000,12,,0,,N,N,780,55,43,49,11,20230930.0,978,,N,N,N
003100,KR7003100005,선광,ST,3.0,0,1013,0,N,N,Y,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,Y,17900,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,21018,1000,19991221,6600,6600000000,12,,0,,N,Y,1355,271,247,213,8,20230930.0,1181,,N,N,N
003310,KR7003310000,대주산업,ST,3.0,0,1009,1019,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,1733,1,1,N,N,N,0,N,N,N,0,0,0,50,Y,90,90374,500,19920801,35392,18696175000,12,,0,,N,N,758,40,37,30,6,20230930.0,613,,N,N,N
003380,KR7003380003,하림지주,ST,1.0,0,1014,0,,N,Y,,N,,,,,N,,,0,,,N,,,,,Y,7290,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,312078,100,20170630,112005,11242047800,12,,0,,N,Y,91989,5237,2116,1871,3,20230930.0,8165,HRM,N,N,N
003800,KR7003800000,에이스침대,ST,2.0,0,1009,1031,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,26200,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,988,1000,19960503,11090,11090000000,12,,0,,N,N,2227,381,420,351,7,20230930.0,2905,,N,N,N
004590,KR7004590006,한국가구,ST,3.0,0,1011,0,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,4020,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,13345,100,19930603,15000,1500000000,12,,0,,N,N,478,65,70,55,7,20230630.0,603,,N,N,N
004650,KR7004650008,창해에탄올,ST,3.0,0,1009,1019,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,9740,1,1,N,N,N,0,N,N,N,0,0,0,50,Y,90,16617,500,20140730,9190,4595442500,12,,0,,N,N,571,61,-67,-77,-12,20230630.0,895,,N,N,N
004780,KR7004780003,대륙제관,ST,3.0,0,1009,1026,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,4125,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,19053,500,19941229,15903,7951599500,12,,0,,N,N,2760,97,109,97,8,20221231.0,656,,N,N,N
005160,KR7005160007,동국산업,ST,2.0,0,1009,1026,N,N,Y,,N,N,N,N,N,N,N,Y,0,N,N,N,N,N,N,N,N,4760,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,55249,1000,19990625,54244,54244482000,12,,0,,N,N,3751,-224,-246,-190,-5,20230630.0,2582,,N,N,N
005290,KR7005290002,동진쎄미켐,ST,1.0,1007,1018,1040,N,N,Y,,N,N,N,N,N,N,Y,N,0,N,N,N,N,N,N,N,Y,37000,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,370011,500,19991221,51414,25707247000,12,,0,,N,Y,6764,968,891,669,19,20230630.0,19023,,N,N,N
